;instalacao;data
845;44;2019-05-28
845;44;2019-06-26
1264;289;2019-07-25
273;1217;2019-05-27
273;1217;2019-06-25
273;1217;2019-07-24
273;1217;2019-08-26
1155;1834;2019-05-27
325;3262;2019-05-27
325;3262;2019-06-25
325;3262;2019-07-24
483;3316;2019-05-27
483;3316;2019-06-25
483;3316;2019-07-24
483;3316;2019-08-26
306;3374;2019-05-28
306;3374;2019-06-26
306;3374;2019-07-25
824;3788;2019-05-28
309;3828;2019-07-25
309;3828;2019-08-27
121;3838;2019-05-28
339;3911;2019-05-28
339;3911;2019-06-26
1140;4092;2019-05-28
924;4156;2019-05-28
924;4156;2019-06-26
716;4254;2019-05-28
69;4895;2019-05-27
70;4895;2019-08-26
531;7086;2019-05-21
531;7086;2019-06-18
531;7086;2019-07-18
238;47412;2019-05-24
238;47412;2019-06-24
238;47412;2019-07-23
238;47412;2019-08-23
632;51508;2019-05-23
633;51508;2019-08-22
1356;53230;2019-05-28
1356;53230;2019-06-26
1356;53230;2019-07-25
1356;53230;2019-08-27
968;81002;2019-06-14
969;81002;2019-08-16
180;87340;2019-05-27
975;88062;2019-05-28
975;88062;2019-06-26
976;88062;2019-07-25
976;88062;2019-08-27
160;104883;2019-05-22
160;104883;2019-07-19
622;120462;2019-05-29
622;120462;2019-06-27
622;120462;2019-07-26
622;120462;2019-08-28
642;124333;2019-05-20
642;124333;2019-06-17
642;124333;2019-07-17
1119;129003;2019-05-16
1119;129003;2019-06-13
1119;129003;2019-07-15
1119;129003;2019-08-15
1192;143184;2019-05-16
1192;143184;2019-06-13
1176;143715;2019-05-23
1178;143716;2019-05-23
479;143887;2019-05-23
1188;143895;2019-05-21
1188;143895;2019-06-18
1222;144021;2019-05-23
1053;144617;2019-05-29
1058;144650;2019-05-08
1199;144763;2019-12-08
1300;146252;2019-06-05
1072;146578;2019-05-28
1072;146578;2019-06-26
1068;146656;2019-05-22
1068;146656;2019-06-19
1068;146656;2019-07-19
1069;146685;2019-07-05
1185;147028;2019-05-15
1185;147028;2019-08-14
1185;147028;2019-12-06
1185;147028;2019-12-07
283;147861;2019-05-24
283;147861;2019-06-25
283;147861;2019-07-26
283;147861;2019-08-23
1096;148091;2019-03-06
1096;148091;2019-03-08
1096;148091;2019-06-05
1175;148717;2019-05-23
1175;148717;2019-06-24
1175;148717;2019-07-26
138;150142;2019-05-27
120;150165;2019-05-27
120;150165;2019-06-26
120;150165;2019-07-28
120;150165;2019-08-26
329;150323;2019-05-27
320;150442;2019-05-27
320;150442;2019-06-26
320;150442;2019-07-28
1236;150579;2019-05-24
1269;151837;2019-05-24
1269;151837;2019-07-26
1269;151837;2019-08-23
1205;151939;2019-05-27
1205;151939;2019-06-26
494;152021;2019-07-19
937;152075;2019-08-08
102;152459;2019-06-13
102;152459;2019-07-15
102;152459;2019-08-15
480;152916;2019-05-24
480;152916;2019-06-25
395;153015;2019-05-22
395;153015;2019-06-18
744;156972;2019-04-07
744;156972;2019-05-08
321;157658;2019-07-05
1157;158128;2019-05-29
822;171412;2019-04-06
822;171412;2019-04-07
822;171412;2019-05-08
822;171412;2019-07-05
