,0
0,44
1,289
2,1217
3,1834
4,3262
5,3316
6,3374
7,3788
8,3828
9,3838
10,3911
11,4092
12,4156
13,4254
14,4895
15,7086
16,47412
17,51508
18,53230
19,81002
20,87340
21,88062
22,104883
23,120462
24,124333
25,129003
26,143184
27,143715
28,143716
29,143887
30,143895
31,144021
32,144617
33,144650
34,144763
35,146252
36,146578
37,146656
38,146685
39,147028
40,147861
41,148091
42,148717
43,150142
44,150165
45,150323
46,150442
47,150579
48,151837
49,151939
50,152021
51,152075
52,152459
53,152916
54,153015
55,156972
56,157658
57,158128
58,171412
59,180933
60,181938
61,183124
62,223196
63,223551
64,230384
65,231683
66,235486
67,238173
68,240881
69,243384
70,245326
71,246983
72,248060
73,248330
74,248748
75,249406
76,249415
77,251807
78,251990
79,253729
80,253946
81,255202
82,261546
83,272192
84,304776
85,315622
86,333827
87,342201
88,356768
89,357719
90,357754
91,370449
92,375097
93,392197
94,393382
95,418548
96,419340
97,425744
98,436418
99,439302
100,459468
101,472790
102,477211
103,478177
104,485355
105,493178
106,497070
107,501651
108,506281
109,506308
110,507035
111,508232
112,508950
113,508965
114,511446
115,511815
116,517146
117,518012
118,530101
119,530805
120,548340
121,552273
122,553319
123,563290
124,565306
125,580116
126,583096
127,586609
128,606381
129,608265
130,613276
131,614178
132,625696
133,626087
134,627371
135,630107
136,632799
137,639241
138,642506
139,643924
140,652481
141,655992
142,659806
143,662725
144,673837
145,687964
146,693723
147,698757
148,714339
149,717514
150,718914
151,719904
152,735829
153,755189
154,758717
155,762559
156,765025
157,774484
158,776568
159,789176
160,795621
161,801069
162,802541
163,805964
164,807577
165,810441
166,810965
167,811282
168,816335
169,816486
170,820085
171,820712
172,823778
173,825937
174,835623
175,839022
176,843684
177,850546
178,856984
179,859462
180,861898
181,863867
182,902151
183,906455
184,907190
185,909823
186,920499
187,934167
188,939324
189,943740
190,948588
191,954014
192,959055
193,963010
194,964156
195,964871
196,978739
197,995715
198,999444
199,999520
200,999895
201,1000012
202,1000427
203,1000916
204,1001117
205,1001140
206,1001176
207,1007033
208,1024847
209,1041763
210,1046005
211,1046989
212,1048372
213,1053201
214,1054936
215,1055888
216,1059825
217,1077978
218,1099527
219,1110559
220,1119203
221,1121562
222,1136932
223,1161423
224,1164800
225,1167968
226,1189810
227,1190018
228,1204039
229,1214414
230,1216249
231,1242676
232,1253078
233,1291293
234,1302904
235,1304429
236,1308055
237,1312386
238,1322084
239,1324987
240,1331868
241,1334494
242,1365961
243,1366211
244,1376886
245,1378460
246,1393078
247,1401427
248,1408713
249,1410063
250,1411820
251,1418192
252,1420276
253,1420297
254,1425139
255,1426334
256,1428004
257,1431447
258,1436827
259,1440416
260,1441773
261,1445366
262,1446086
263,1468615
264,1470814
265,1471645
266,1472054
267,1489690
268,1489727
269,1490375
270,1492692
271,1493944
272,1500102
273,1501678
274,1502969
275,1502972
276,1502989
277,1509682
278,1516165
279,1527483
280,1530779
281,1570978
282,1584783
283,1594157
284,1598683
285,1612683
286,1620528
287,1627784
288,1628166
289,1635576
290,1640178
291,1642774
292,1643367
293,1652356
294,1654551
295,1654734
296,1660025
297,1687759
298,1696279
299,1706131
300,1706564
301,1714693
302,1724984
303,1729094
304,1753845
305,1770062
306,1770520
307,1782155
308,1792609
309,1798069
310,1807153
311,1809203
312,1811813
313,1817718
314,1821775
315,1822100
316,1828345
317,1839811
318,1849522
319,1908734
320,1921794
321,1937798
322,1956302
323,1974562
324,1990254
325,1990414
326,9500006
327,9500072
328,9500086
329,9500096
330,9500109
331,9500206
332,9500312
333,9500326
334,9500350
335,9500363
336,9500423
337,9500467
338,9500555
339,9500569
340,9500573
341,9500605
342,9500667
343,9500677
344,9500718
345,9500811
346,9500838
347,9500880
348,9500923
349,9500926
350,9500936
351,9500937
352,9500960
353,9501034
354,9501035
355,9501044
356,9501057
357,9501071
358,9501113
359,9501159
360,9501187
361,9501230
362,9501254
363,9501343
364,9501360
365,9501365
366,9501465
367,9501537
368,9501604
369,9501651
370,9501693
371,9501697
372,9501709
373,9501716
374,9501779
375,9501782
376,9501888
377,9501891
378,9501898
379,9501900
380,9501902
381,9501907
382,9501935
383,9501997
384,9502284
385,9502301
386,9502327
387,9502364
388,9502394
389,9502407
390,9502432
391,9502437
392,9502457
393,9502477
394,9502513
395,9502599
396,9502627
397,9502650
398,9502693
399,9502701
400,9502711
401,9502785
402,160003451
403,160019450
404,160021278
405,160023919
406,160025048
407,160025499
408,160026332
409,160031690
410,160032028
411,160032716
412,160033315
413,160033471
414,160036478
415,160039108
416,160040259
417,160041006
418,160041160
419,160041564
420,160042544
421,160044128
422,160045096
423,160045134
424,160047058
425,160047269
426,160049678
427,160050162
428,160050311
429,160050816
430,160051358
431,160051400
432,160051656
433,160054225
434,160054797
435,160055136
436,160058948
437,160059258
438,160059514
439,160064901
440,160065379
441,160065752
442,160070877
443,160072132
444,160074414
445,160075574
446,160079113
447,160079928
448,160082267
449,160086067
450,160086085
451,160088166
452,160089605
453,160089900
454,160097365
455,160101225
456,160101624
457,160102349
458,160102719
459,160104105
460,160104682
461,160105636
462,160107046
463,160109047
464,160110699
465,160110984
466,160112211
467,160117727
468,160119823
469,160122933
470,160123149
471,160125271
472,160128557
473,160128558
474,160130191
475,160130360
476,160133953
477,160134792
478,160136411
479,160139079
480,160141442
481,160143843
482,160147957
483,160151998
484,160153704
485,160156424
486,160158470
487,160159141
488,160160552
489,160165006
490,160166207
491,160166661
492,160177078
493,160178826
494,160180311
495,160180320
496,160182974
497,160185046
498,160186839
499,160187986
500,160188144
501,160188269
502,160188543
503,160191321
504,160192223
505,160193086
506,160194492
507,160196868
508,160198809
509,160202167
510,160205148
511,160209309
512,160209569
513,160213047
514,160213214
515,160213783
516,160214293
517,160215858
518,160221353
519,160226733
520,160241968
521,160246181
522,160247940
523,160249663
524,160252651
525,160253459
526,160256787
527,160258107
528,160258451
529,160260573
530,160263114
531,160263198
532,160265864
533,160266385
534,160274030
535,160275194
536,160276768
537,160276771
538,160276776
539,160276886
540,160276979
541,160277084
542,160277112
543,160277133
544,160277147
545,160277370
546,160277613
547,160277741
548,160278200
549,160278277
550,160278333
551,160278419
552,160278637
553,160278764
554,160278777
555,160278807
556,160279015
557,160279057
558,160279126
559,160279127
560,160279128
561,160279237
562,160279238
563,160279305
564,160279401
565,160280065
566,160280651
567,160280717
568,160280927
569,160281148
570,160281166
571,160281202
572,160281211
573,160281373
574,160281749
575,160281928
576,160282163
577,160282490
578,160282558
579,160282570
580,160282809
581,160282833
582,160282857
583,160282860
584,160283334
585,160283541
586,160283549
587,160283630
588,160284868
589,160285633
590,160286491
591,160292069
592,160294849
593,160299244
594,160300217
595,160300665
596,160301873
597,160305164
598,160310077
599,160310624
600,160313208
601,160314393
602,160314916
603,160315337
604,160316116
605,160318191
606,160320357
607,160321588
608,160322444
609,160323290
610,160324075
611,160324595
612,160324635
613,160324636
614,160324641
615,160324767
616,160324835
617,160324953
618,160325035
619,160325361
620,160325621
621,160325776
622,160325826
623,160325935
624,160325938
625,160325952
626,160326327
627,160326332
628,160326401
629,160326552
630,160326652
631,160326653
632,160326658
633,160331551
634,160331998
635,160334055
636,160339304
637,160339662
638,160341543
639,160341645
640,160342980
641,160343054
642,160346014
643,160346292
644,160346358
645,160347147
646,160348616
647,160349962
648,160350252
649,160350367
650,160350617
651,160350730
652,160351435
653,160355767
654,160357213
655,160368882
656,160369293
657,160372975
658,160378675
659,160378695
660,160380914
661,160382313
662,160386387
663,160386604
664,160392312
665,160392374
666,160395572
667,160396833
668,160403700
669,160411333
670,160413567
671,160416564
672,160416792
673,160424225
674,160428066
675,160429028
676,160436078
677,160440606
678,160443347
679,160445033
680,160446458
681,160447398
682,160448504
683,160456338
684,160456397
685,160458927
686,160465411
687,160470567
688,160470824
689,160476674
690,160480951
691,160488108
692,160488919
693,160489528
694,160493411
695,160504929
696,160505809
697,160510032
698,160512228
699,160515237
700,160516222
701,160528970
702,160543111
703,160550679
704,160557791
705,160581342
706,160589882
707,160608520
708,160621806
709,160648797
710,160662730
711,160669410
712,160671090
713,160691745
714,160692835
715,160705554
716,160741560
717,160757786
718,160804834
719,160809836
720,160809881
721,160810548
722,160811908
723,160819343
724,160821738
725,160824687
726,160831392
727,160833913
728,160837818
