,mes,mm,instalacao,medidor
0,5,53,0001001176,13017277
1,7,93,0001001176,13017277
2,8,135,0001001176,13017277
0,5,431,0160040259,12680634
1,6,399,0160040259,12680634
2,7,302,0160040259,12680634
3,8,222,0160040259,12680634
0,5,459,0160310077,13337151
1,8,135,0160310077,13337151
0,5,57,0009500838,32152525
1,7,51,0009500838,32152525
2,8,57,0009500838,32152525
0,5,723,0001041763,14132831
1,6,340,0001041763,14132831
0,8,360,0001041763,15432079
0,7,164,0160280927,13831065
1,8,133,0160280927,13831065
0,5,162,0001809203,13057834
1,6,105,0001809203,13057834
2,7,92,0001809203,13057834
3,8,83,0001809203,13057834
0,5,388,0001849522,13240973
0,6,186,0001849522,15496683
1,7,290,0001849522,15496683
2,8,128,0001849522,15496683
0,5,63,0000240881,12920439
0,5,743,0000240881,13074470
1,6,351,0000240881,13074470
0,5,64,0160283549,13831685
1,6,48,0160283549,13831685
0,5,109,0001502972,00037264
1,6,51,0001502972,00037264
0,5,51,0001502969,00037265
0,5,99,0000735829,14191529
1,6,91,0000735829,14191529
2,7,59,0000735829,14191529
3,8,53,0000735829,14191529
0,5,169,0001401427,12793471
1,6,140,0001401427,12793471
0,7,607,0001401427,15287895
1,8,664,0001401427,15287895
0,5,185,0009501113,12680553
1,6,111,0009501113,12680553
2,7,107,0009501113,12680553
3,8,148,0009501113,12680553
0,5,185,0009501113,12680553
1,6,111,0009501113,12680553
2,7,107,0009501113,12680553
3,8,148,0009501113,12680553
0,5,185,0009501113,12680553
1,6,111,0009501113,12680553
2,7,107,0009501113,12680553
3,8,148,0009501113,12680553
0,5,384,0009501159,32154557
1,6,50,0009501159,32154557
2,8,248,0009501159,32154557
0,5,384,0009501159,32154557
1,6,50,0009501159,32154557
2,8,248,0009501159,32154557
0,5,259,0160346358,13406501
0,5,363,0160515237,13862397
1,6,360,0160515237,13862397
2,7,222,0160515237,13862397
0,8,112,0160515237,15347763
0,8,77,0160648797,14283627
0,5,362,0160209569,13406509
0,7,361,0160209569,15496700
1,8,742,0160209569,15496700
0,5,446,0160428066,14631706
0,6,130,0160809836,15537042
1,7,666,0160809836,15537042
2,8,639,0160809836,15537042
0,5,228,0000999520,00010129
1,6,356,0000999520,00010129
2,7,160,0000999520,00010129
3,8,79,0000999520,00010129
0,5,187,0001839811,12680635
1,6,80,0001839811,12680635
2,7,82,0001839811,12680635
3,8,67,0001839811,12680635
0,5,251,0160276979,12874725
1,6,133,0160276979,12874725
2,7,229,0160276979,12874725
3,8,217,0160276979,12874725
0,8,724,0001420276,12874985
0,6,85,0160283630,13862579
0,5,65,0001046005,00037480
0,5,174,0160147957,12875205
1,6,105,0160147957,12875205
2,7,145,0160147957,12875205
3,8,273,0160147957,12875205
0,7,69,0000642506,00047275
1,8,79,0000642506,00047275
0,5,120,0001365961,13240968
1,7,124,0001365961,13240968
2,8,98,0001365961,13240968
0,7,73,0160837818,15476020
1,8,214,0160837818,15476020
0,7,73,0160837818,15476020
1,8,214,0160837818,15476020
0,5,250,0000004895,13058301
0,8,299,0000004895,15496818
0,7,334,0160139079,15496676
1,8,584,0160139079,15496676
0,5,96,0160378695,14284186
0,5,720,0000255202,00048903
1,6,435,0000255202,00048903
0,6,207,0000255202,15314073
1,7,512,0000255202,15314073
2,8,270,0000255202,15314073
0,5,185,0160341645,15137219
1,6,485,0160341645,15137219
2,7,204,0160341645,15137219
3,8,110,0160341645,15137219
0,5,59,0000248060,00093038
1,6,56,0000248060,00093038
0,5,100,0001516165,00026723
1,6,52,0001516165,00026723
0,5,55,0000342201,13406507
1,8,88,0000342201,13406507
0,6,52,0000606381,00098646
0,7,335,0000606381,15347607
1,8,195,0000606381,15347607
0,5,178,0160282490,00017505
1,6,109,0160282490,00017505
2,7,93,0160282490,00017505
3,8,102,0160282490,00017505
0,5,365,0160104682,12827922
1,6,266,0160104682,12827922
2,7,127,0160104682,12827922
3,8,113,0160104682,12827922
0,5,59,0160671090,14631292
1,6,187,0160671090,14631292
2,7,154,0160671090,14631292
3,8,112,0160671090,14631292
0,5,157,0000251807,14191473
1,6,120,0000251807,14191473
2,7,261,0000251807,14191473
3,8,55,0000251807,14191473
0,7,173,0000238173,13058539
1,8,123,0000238173,13058539
0,5,96,0000507035,13057958
1,6,52,0000507035,13057958
0,5,479,0009502599,00053783
1,6,430,0009502599,00053783
0,7,655,0009502599,14630868
