Data;Dia;vA;vB;vC;avA;avB;avC;iA;iB;iC;aiA;aiB;aiC;pA;pB;pC;fpA;fpB;fpC;AB;BC;AC;Distorcao Harmonica (%);Frequencia (Hz);Sequencia;1;2;3;1;2;3
27/02/2019 00:00;Quarta;127;128;127;0;120;240;0.02;0;0.1;344;120;209;2;0;10;0.96;1;0.85;220;220;219;0;60;132;14;9;0;6.225.958.00;1.816.955.00;44
27/02/2019 00:15;Quarta;128;128;128;0;120;240;0.02;0.01;0.08;336;120;215;2;1;9;0.91;1;0.9;221;221;221;0;60;132;16;10;0;6.225.974.00;1.816.965.00;44
27/02/2019 00:30;Quarta;128;129;128;0;120;240;0.02;0.01;0.07;339;120;213;2;1;8;0.93;1;0.89;222;222;221;0;60;132;17;12;0;6.225.991.00;1.816.977.00;44
27/02/2019 00:45;Quarta;129;129;128;0;120;240;0.02;0;0.07;352;120;222;2;0;8;0.99;1;0.95;223;222;222;0;60;132;14;9;0;6.226.005.00;1.816.986.00;44
27/02/2019 01:00;Quarta;129;129;128;0;120;240;0.02;0;0.07;341;209;221;2;1;8;0.94;0;0.94;223;222;222;0;60;132;15;9;0;6.226.020.00;1.816.995.00;44
27/02/2019 01:15;Quarta;128;128;128;0;120;240;0.02;0;0.07;344;209;217;2;1;8;0.96;0;0.92;221;221;221;0;60;132;14;8;0;6.226.034.00;1.817.003.00;44
27/02/2019 01:30;Quarta;128;128;127;0;120;240;0.02;0;0.12;341;209;240;2;1;23;0.94;0;1;221;220;220;0;60;132;14;8;0;6.226.048.00;1.817.011.00;44
27/02/2019 01:45;Quarta;128;128;127;0;120;240;0.02;0;0.08;346;120;217;2;0;9;0.97;1;0.92;221;220;220;0;60;132;14;8;0;6.226.062.00;1.817.019.00;44
27/02/2019 02:00;Quarta;128;128;128;0;120;240;0.02;0.01;0.1;339;120;205;2;1;10;0.93;1;0.81;221;221;221;0;60;132;16;11;0;6.226.078.00;1.817.030.00;44
27/02/2019 02:15;Quarta;128;128;128;0;120;240;0.02;0;0.09;344;120;206;2;0;9;0.96;1;0.82;221;221;221;0;60;132;17;12;0;6.226.095.00;1.817.042.00;44
